Year,Scale
1960,1.00
1961,1.01
1962,1.02
1963,1.03
1964,1.05
1965,1.06
1966,1.08
1967,1.12
1968,1.15
1969,1.21
1970,1.28
1971,1.35
1972,1.40
1973,1.45
1974,1.57
1975,1.77
1976,1.89
1977,1.98
1978,2.11
1979,2.30
1980,2.61
1981,2.94
1982,3.20
1983,3.32
1984,3.45
1985,3.58
1986,3.72
1987,3.76
1988,3.93
1989,4.10
1990,4.29
1991,4.55
1992,4.69
1993,4.83
1994,4.96
1995,5.09
1996,5.22
1997,5.39
1998,5.49
1999,5.57
2000,5.72
2001,5.92
2002,6.01
2003,6.15
2004,6.27
2005,6.47
2006,6.69
2007,6.86
2008,7.14
2009,7.15
2010,7.35
2011,7.46
2012,7.68
2013,7.81
2014,7.93
2015,7.99
2016,8.05
2017,8.21
2018,8.39
,
